Rodada,Local,Data,Numero,Vencedor,TimeA,TotalGolsTimeA,TimeB,TotalGolsTimeB
10,Arena da Baixada - Curitiba - PR,07/14/2019 16:00:00,100,Athletico Paranaense - PR,Athletico Paranaense - PR,1,Internacional - RS,0
10,Arena Condá - Chapeco - SC,07/14/2019 19:00:00,98,Atlético - MG,Chapecoense - SC,1,Atlético - MG,2
10,Maracanã - Rio de Janeiro - RJ,07/15/2019 20:00:00,97,,Fluminense - RJ,1,Ceará - CE,1
11,São Januário - Rio de Janeiro - RJ,07/20/2019 11:00:00,106,Vasco da Gama - RJ,Vasco da Gama - RJ,2,Fluminense - RJ,1
11,Arena Fonte Nova - Salvador - BA,07/20/2019 17:00:00,109,,Bahia - BA,0,Cruzeiro - MG,0
11,Beira-Rio - Porto Alegre - RS,07/20/2019 19:00:00,101,,Internacional - RS,1,Grêmio - RS,1
11,Arena Castelão - Fortaleza - CE,07/20/2019 19:00:00,103,Ceará - CE,Ceará - CE,2,Palmeiras - SP,0
11,Rei Pelé - Maceio - AL,07/20/2019 19:00:00,110,Athletico Paranaense - PR,Csa - AL,0,Athletico Paranaense - PR,4
11,Nilton Santos - Rio de Janeiro - RJ,07/21/2019 11:00:00,107,Santos - SP,Botafogo - RJ,0,Santos - SP,1
11,Independência - Belo Horizonte - MG,07/21/2019 16:00:00,102,,Atlético - MG,2,Fortaleza - CE,2
11,Arena Corinthians - Sao Paulo - SP,07/21/2019 16:00:00,104,,Corinthians - SP,1,Flamengo - RJ,1
11,Ressacada - Florianopolis - SC,07/21/2019 19:00:00,108,,Avaí - SC,0,Goiás - GO,0
11,Morumbi - Sao Paulo - SP,07/22/2019 20:00:00,105,São Paulo - SP,São Paulo - SP,4,Chapecoense - SC,0
12,Allianz Parque - Sao Paulo - SP,07/27/2019 17:00:00,114,,Palmeiras - SP,1,Vasco da Gama - RJ,1
12,Maracanã - Rio de Janeiro - RJ,07/27/2019 19:00:00,117,São Paulo - SP,Fluminense - RJ,1,São Paulo - SP,2
12,Mineirão - Belo Horizonte - MG,07/27/2019 19:00:00,112,Athletico Paranaense - PR,Cruzeiro - MG,0,Athletico Paranaense - PR,2
12,Beira-Rio - Porto Alegre - RS,07/27/2019 19:00:00,111,Internacional - RS,Internacional - RS,1,Ceará - CE,0
12,Arena Condá - Chapeco - SC,07/28/2019 11:00:00,118,,Chapecoense - SC,0,Bahia - BA,0
12,Vila Belmiro - Santos - SP,07/28/2019 16:00:00,115,Santos - SP,Santos - SP,3,Avaí - SC,1
12,Maracanã - Rio de Janeiro - RJ,07/28/2019 16:00:00,116,Flamengo - RJ,Flamengo - RJ,3,Botafogo - RJ,2
12,Arena Castelão - Fortaleza - CE,07/28/2019 19:00:00,113,Corinthians - SP,Fortaleza - CE,1,Corinthians - SP,3
12,Serra Dourada - Goiania - GO,07/28/2019 19:00:00,119,,Goiás - GO,0,Atlético - MG,0
12,Rei Pelé - Maceio - AL,07/29/2019 20:00:00,120,,Csa - AL,0,Grêmio - RS,0
13,Arena Castelão - Fortaleza - CE,08/03/2019 19:00:00,123,Ceará - CE,Ceará - CE,2,Fortaleza - CE,1
13,Maracanã - Rio de Janeiro - RJ,08/03/2019 19:00:00,127,Fluminense - RJ,Fluminense - RJ,2,Internacional - RS,1
13,Vila Belmiro - Santos - SP,08/04/2019 11:00:00,125,Santos - SP,Santos - SP,6,Goiás - GO,1
13,Arena Fonte Nova - Salvador - BA,08/04/2019 16:00:00,129,Bahia - BA,Bahia - BA,3,Flamengo - RJ,0
13,Ressacada - Florianopolis - SC,08/04/2019 16:00:00,128,Botafogo - RJ,Avaí - SC,0,Botafogo - RJ,2
13,Independência - Belo Horizonte - MG,08/04/2019 19:00:00,122,Atlético - MG,Atlético - MG,2,Cruzeiro - MG,0
13,Kleber Andrade - Cariacica - ES,08/04/2019 19:00:00,126,,Vasco da Gama - RJ,0,Csa - AL,0
13,Arena Corinthians - Sao Paulo - SP,08/04/2019 19:00:00,124,,Corinthians - SP,1,Palmeiras - SP,1
13,Arena do Grêmio - Porto Alegre - RS,08/05/2019 20:00:00,121,,Grêmio - RS,3,Chapecoense - SC,3
13,Arena da Baixada - Curitiba - PR,08/21/2019 19:15:00,130,São Paulo - SP,Athletico Paranaense - PR,0,São Paulo - SP,1
14,Arena Castelão - Fortaleza - CE,08/10/2019 17:00:00,133,Ceará - CE,Ceará - CE,4,Chapecoense - SC,1
14,Morumbi - Sao Paulo - SP,08/10/2019 17:00:00,135,São Paulo - SP,São Paulo - SP,3,Santos - SP,2
14,Maracanã - Rio de Janeiro - RJ,08/10/2019 19:00:00,136,Flamengo - RJ,Flamengo - RJ,3,Grêmio - RS,1
14,Independência - Belo Horizonte - MG,08/10/2019 21:00:00,132,Atlético - MG,Atlético - MG,2,Fluminense - RJ,1
14,Beira-Rio - Porto Alegre - RS,08/11/2019 11:00:00,131,,Internacional - RS,0,Corinthians - SP,0
14,Allianz Parque - Sao Paulo - SP,08/11/2019 16:00:00,134,,Palmeiras - SP,2,Bahia - BA,2
14,Nilton Santos - Rio de Janeiro - RJ,08/11/2019 16:00:00,137,Botafogo - RJ,Botafogo - RJ,2,Athletico Paranaense - PR,1
14,Ressacada - Florianopolis - SC,08/11/2019 16:00:00,138,,Avaí - SC,2,Cruzeiro - MG,2
14,Serra Dourada - Goiania - GO,08/11/2019 19:00:00,139,Vasco da Gama - RJ,Goiás - GO,0,Vasco da Gama - RJ,1
14,Rei Pelé - Maceio - AL,08/12/2019 20:00:00,140,Fortaleza - CE,Csa - AL,0,Fortaleza - CE,2
15,Arena Castelão - Fortaleza - CE,08/17/2019 17:00:00,143,Internacional - RS,Fortaleza - CE,0,Internacional - RS,1
15,Arena Corinthians - Sao Paulo - SP,08/17/2019 17:00:00,144,Corinthians - SP,Corinthians - SP,2,Botafogo - RJ,0
15,Mané Garrincha - Brasilia - DF,08/17/2019 19:00:00,146,Flamengo - RJ,Vasco da Gama - RJ,1,Flamengo - RJ,4
15,Arena da Baixada - Curitiba - PR,08/17/2019 19:00:00,150,Athletico Paranaense - PR,Athletico Paranaense - PR,1,Atlético - MG,0
15,Arena do Grêmio - Porto Alegre - RS,08/17/2019 21:00:00,141,,Grêmio - RS,1,Palmeiras - SP,1
15,Arena Fonte Nova - Salvador - BA,08/18/2019 16:00:00,149,,Bahia - BA,1,Goiás - GO,1
15,Maracanã - Rio de Janeiro - RJ,08/18/2019 16:00:00,147,Csa - AL,Fluminense - RJ,0,Csa - AL,1
15,Morumbi - Sao Paulo - SP,08/18/2019 16:00:00,145,São Paulo - SP,São Paulo - SP,1,Ceará - CE,0
15,Mineirão - Belo Horizonte - MG,08/18/2019 16:00:00,142,Cruzeiro - MG,Cruzeiro - MG,2,Santos - SP,0
15,Arena Condá - Chapeco - SC,08/18/2019 19:00:00,148,Chapecoense - SC,Chapecoense - SC,1,Avaí - SC,0
16,Independência - Belo Horizonte - MG,08/24/2019 11:00:00,152,Bahia - BA,Atlético - MG,0,Bahia - BA,1
16,Arena do Grêmio - Porto Alegre - RS,08/24/2019 17:00:00,151,Grêmio - RS,Grêmio - RS,2,Athletico Paranaense - PR,1
16,Vila Belmiro - Santos - SP,08/25/2019 16:00:00,155,,Santos - SP,3,Fortaleza - CE,3
16,São Januário - Rio de Janeiro - RJ,08/25/2019 16:00:00,156,Vasco da Gama - RJ,Vasco da Gama - RJ,2,São Paulo - SP,0
16,Serra Dourada - Goiania - GO,08/25/2019 16:00:00,159,Goiás - GO,Goiás - GO,2,Internacional - RS,1
16,Arena Castelão - Fortaleza - CE,08/25/2019 19:00:00,153,Flamengo - RJ,Ceará - CE,0,Flamengo - RJ,3
16,Ressacada - Florianopolis - SC,08/25/2019 19:00:00,158,,Avaí - SC,1,Corinthians - SP,1
16,Rei Pelé - Maceio - AL,08/25/2019 19:00:00,160,,Csa - AL,1,Cruzeiro - MG,1
16,Nilton Santos - Rio de Janeiro - RJ,08/26/2019 20:00:00,157,,Botafogo - RJ,0,Chapecoense - SC,0
16,Allianz Parque - Sao Paulo - SP,09/10/2019 21:00:00,154,Palmeiras - SP,Palmeiras - SP,3,Fluminense - RJ,0
17,Morumbi - Sao Paulo - SP,08/31/2019 11:00:00,165,,São Paulo - SP,0,Grêmio - RS,0
17,Arena Fonte Nova - Salvador - BA,08/31/2019 17:00:00,169,Bahia - BA,Bahia - BA,1,Csa - AL,0
17,Arena Condá - Chapeco - SC,08/31/2019 19:00:00,168,Santos - SP,Chapecoense - SC,0,Santos - SP,1
17,Arena da Baixada - Curitiba - PR,08/31/2019 19:00:00,170,Athletico Paranaense - PR,Athletico Paranaense - PR,1,Ceará - CE,0
17,Beira-Rio - Porto Alegre - RS,08/31/2019 21:00:00,161,Internacional - RS,Internacional - RS,3,Botafogo - RJ,2
17,Arena Castelão - Fortaleza - CE,09/01/2019 16:00:00,163,Fortaleza - CE,Fortaleza - CE,2,Goiás - GO,0
17,Maracanã - Rio de Janeiro - RJ,09/01/2019 16:00:00,166,Flamengo - RJ,Flamengo - RJ,3,Palmeiras - SP,0
17,Arena Corinthians - Sao Paulo - SP,09/01/2019 19:00:00,164,Corinthians - SP,Corinthians - SP,1,Atlético - MG,0
17,Mineirão - Belo Horizonte - MG,09/01/2019 19:00:00,162,Cruzeiro - MG,Cruzeiro - MG,1,Vasco da Gama - RJ,0
17,Maracanã - Rio de Janeiro - RJ,09/02/2019 20:00:00,167,Avaí - SC,Fluminense - RJ,0,Avaí - SC,1
18,Arena Corinthians - Sao Paulo - SP,09/07/2019 11:00:00,174,,Corinthians - SP,2,Ceará - CE,2
18,São Januário - Rio de Janeiro - RJ,09/07/2019 11:00:00,176,Bahia - BA,Vasco da Gama - RJ,0,Bahia - BA,2
18,Arena Castelão - Fortaleza - CE,09/07/2019 17:00:00,173,Fluminense - RJ,Fortaleza - CE,0,Fluminense - RJ,1
18,Mané Garrincha - Brasilia - DF,09/07/2019 17:00:00,178,Flamengo - RJ,Avaí - SC,0,Flamengo - RJ,3
18,Beira-Rio - Porto Alegre - RS,09/07/2019 19:00:00,171,Internacional - RS,Internacional - RS,1,São Paulo - SP,0
18,Serra Dourada - Goiania - GO,09/07/2019 21:00:00,179,Palmeiras - SP,Goiás - GO,1,Palmeiras - SP,2
18,Independência - Belo Horizonte - MG,09/08/2019 11:00:00,172,Grêmio - RS,Cruzeiro - MG,1,Grêmio - RS,4
18,Nilton Santos - Rio de Janeiro - RJ,09/08/2019 16:00:00,177,Botafogo - RJ,Botafogo - RJ,2,Atlético - MG,1
18,Vila Belmiro - Santos - SP,09/08/2019 16:00:00,175,,Santos - SP,1,Athletico Paranaense - PR,1
18,Rei Pelé - Maceio - AL,09/08/2019 19:00:00,180,Csa - AL,Csa - AL,2,Chapecoense - SC,0
19,Maracanã - Rio de Janeiro - RJ,09/14/2019 17:00:00,186,Flamengo - RJ,Flamengo - RJ,1,Santos - SP,0
19,Allianz Parque - Sao Paulo - SP,09/14/2019 19:00:00,184,Palmeiras - SP,Palmeiras - SP,1,Cruzeiro - MG,0
19,Arena Condá - Chapeco - SC,09/14/2019 19:00:00,188,Vasco da Gama - RJ,Chapecoense - SC,1,Vasco da Gama - RJ,2
19,Arena Castelão - Fortaleza - CE,09/14/2019 21:00:00,183,,Ceará - CE,0,Botafogo - RJ,0
19,Independência - Belo Horizonte - MG,09/15/2019 11:00:00,182,Internacional - RS,Atlético - MG,1,Internacional - RS,3
19,Arena da Baixada - Curitiba - PR,09/15/2019 11:00:00,190,Avaí - SC,Athletico Paranaense - PR,0,Avaí - SC,1
19,Arena do Grêmio - Porto Alegre - RS,09/15/2019 16:00:00,181,Grêmio - RS,Grêmio - RS,3,Goiás - GO,0
19,Mané Garrincha - Brasilia - DF,09/15/2019 16:00:00,187,Fluminense - RJ,Fluminense - RJ,1,Corinthians - SP,0
19,Arena Fonte Nova - Salvador - BA,09/15/2019 16:00:00,189,,Bahia - BA,1,Fortaleza - CE,1
19,Morumbi - Sao Paulo - SP,09/15/2019 19:00:00,185,,São Paulo - SP,1,Csa - AL,1
20,Nilton Santos - Rio de Janeiro - RJ,09/21/2019 11:00:00,197,São Paulo - SP,Botafogo - RJ,1,São Paulo - SP,2
20,Mineirão - Belo Horizonte - MG,09/21/2019 17:00:00,192,Flamengo - RJ,Cruzeiro - MG,1,Flamengo - RJ,2
20,Arena Corinthians - Sao Paulo - SP,09/21/2019 19:00:00,194,Corinthians - SP,Corinthians - SP,2,Bahia - BA,1
20,Vila Belmiro - Santos - SP,09/21/2019 21:00:00,195,Grêmio - RS,Santos - SP,0,Grêmio - RS,3
20,Beira-Rio - Porto Alegre - RS,09/22/2019 11:00:00,191,Internacional - RS,Internacional - RS,1,Chapecoense - SC,0
20,São Januário - Rio de Janeiro - RJ,09/22/2019 16:00:00,196,,Vasco da Gama - RJ,1,Athletico Paranaense - PR,1
20,Rei Pelé - Maceio - AL,09/22/2019 16:00:00,200,Csa - AL,Csa - AL,1,Ceará - CE,0
20,Arena Castelão - Fortaleza - CE,09/22/2019 16:00:00,193,Palmeiras - SP,Fortaleza - CE,0,Palmeiras - SP,1
20,Serra Dourada - Goiania - GO,09/22/2019 19:00:00,199,Goiás - GO,Goiás - GO,3,Fluminense - RJ,0
20,Ressacada - Florianopolis - SC,09/23/2019 20:00:00,198,Avaí - SC,Avaí - SC,1,Atlético - MG,0
21,Arena Castelão - Fortaleza - CE,09/25/2019 19:30:00,203,,Ceará - CE,0,Cruzeiro - MG,0
21,Arena Fonte Nova - Salvador - BA,09/25/2019 21:30:00,209,Bahia - BA,Bahia - BA,2,Botafogo - RJ,0
21,Morumbi - Sao Paulo - SP,09/25/2019 21:30:00,205,Goiás - GO,São Paulo - SP,0,Goiás - GO,1
21,Maracanã - Rio de Janeiro - RJ,09/25/2019 21:30:00,206,Flamengo - RJ,Flamengo - RJ,3,Internacional - RS,1
21,Pacaembu - Sao Paulo - SP,09/26/2019 19:15:00,204,Palmeiras - SP,Palmeiras - SP,6,Csa - AL,2
21,Arena do Grêmio - Porto Alegre - RS,09/26/2019 20:00:00,201,Grêmio - RS,Grêmio - RS,6,Avaí - SC,1
21,Maracanã - Rio de Janeiro - RJ,09/26/2019 20:00:00,207,,Fluminense - RJ,1,Santos - SP,1
21,Arena da Baixada - Curitiba - PR,09/26/2019 21:30:00,210,Athletico Paranaense - PR,Athletico Paranaense - PR,4,Fortaleza - CE,1
21,Arena Condá - Chapeco - SC,10/02/2019 19:15:00,208,Corinthians - SP,Chapecoense - SC,0,Corinthians - SP,1
21,Independência - Belo Horizonte - MG,10/02/2019 19:15:00,202,Vasco da Gama - RJ,Atlético - MG,1,Vasco da Gama - RJ,2
22,Maracanã - Rio de Janeiro - RJ,09/28/2019 19:00:00,216,,Flamengo - RJ,0,São Paulo - SP,0
22,Arena Corinthians - Sao Paulo - SP,09/29/2019 11:00:00,214,Corinthians - SP,Corinthians - SP,1,Vasco da Gama - RJ,0
22,Vila Belmiro - Santos - SP,09/29/2019 16:00:00,215,Santos - SP,Santos - SP,2,Csa - AL,0
22,Beira-Rio - Porto Alegre - RS,09/29/2019 16:00:00,211,,Internacional - RS,1,Palmeiras - SP,1
