Rodada,Local,Data,Numero,Vencedor,TimeA,TotalGolsTimeA,TimeB,TotalGolsTimeB
1,Morumbi - Sao Paulo - SP,04/27/2019 16:00:00,5,São Paulo - SP,São Paulo - SP,2,Botafogo - RJ,0
1,Independência - Belo Horizonte - MG,04/27/2019 19:00:00,2,Atlético - MG,Atlético - MG,2,Avaí - SC,1
1,Arena Condá - Chapeco - SC,04/27/2019 19:00:00,8,Chapecoense - SC,Chapecoense - SC,2,Internacional - RS,0
1,Maracanã - Rio de Janeiro - RJ,04/27/2019 21:00:00,6,Flamengo - RJ,Flamengo - RJ,3,Cruzeiro - MG,1
1,Arena do Grêmio - Porto Alegre - RS,04/28/2019 11:00:00,1,Santos - SP,Grêmio - RS,1,Santos - SP,2
1,Arena Castelão - Fortaleza - CE,04/28/2019 16:00:00,3,Ceará - CE,Ceará - CE,4,Csa - AL,0
1,Arena Fonte Nova - Salvador - BA,04/28/2019 16:00:00,9,Bahia - BA,Bahia - BA,3,Corinthians - SP,2
1,Arena da Baixada - Curitiba - PR,04/28/2019 16:00:00,10,Athletico Paranaense - PR,Athletico Paranaense - PR,4,Vasco da Gama - RJ,1
1,Allianz Parque - Sao Paulo - SP,04/28/2019 19:00:00,4,Palmeiras - SP,Palmeiras - SP,4,Fortaleza - CE,0
1,Maracanã - Rio de Janeiro - RJ,04/28/2019 19:00:00,7,Goiás - GO,Fluminense - RJ,0,Goiás - GO,1
2,Arena Corinthians - Sao Paulo - SP,05/01/2019 16:00:00,14,Corinthians - SP,Corinthians - SP,1,Chapecoense - SC,0
2,Rei Pelé - Maceio - AL,05/01/2019 16:00:00,20,,Csa - AL,1,Palmeiras - SP,1
2,Beira-Rio - Porto Alegre - RS,05/01/2019 16:00:00,11,Internacional - RS,Internacional - RS,2,Flamengo - RJ,1
2,Mineirão - Belo Horizonte - MG,05/01/2019 19:15:00,12,Cruzeiro - MG,Cruzeiro - MG,1,Ceará - CE,0
2,Ressacada - Florianopolis - SC,05/01/2019 19:15:00,18,,Avaí - SC,1,Grêmio - RS,1
2,Arena Castelão - Fortaleza - CE,05/01/2019 21:30:00,13,Fortaleza - CE,Fortaleza - CE,2,Athletico Paranaense - PR,1
2,São Januário - Rio de Janeiro - RJ,05/01/2019 21:30:00,16,Atlético - MG,Vasco da Gama - RJ,1,Atlético - MG,2
2,Serra Dourada - Goiania - GO,05/01/2019 21:30:00,19,São Paulo - SP,Goiás - GO,1,São Paulo - SP,2
2,Vila Belmiro - Santos - SP,05/02/2019 19:15:00,15,Santos - SP,Santos - SP,2,Fluminense - RJ,1
2,Nilton Santos - Rio de Janeiro - RJ,05/02/2019 20:00:00,17,Botafogo - RJ,Botafogo - RJ,3,Bahia - BA,2
3,Arena da Amazônia - Manaus - AM,05/04/2019 19:00:00,26,,Vasco da Gama - RJ,1,Corinthians - SP,1
3,Allianz Parque - Sao Paulo - SP,05/04/2019 19:00:00,24,Palmeiras - SP,Palmeiras - SP,1,Internacional - RS,0
3,Arena Castelão - Fortaleza - CE,05/04/2019 21:00:00,23,Atlético - MG,Ceará - CE,1,Atlético - MG,2
3,Arena Condá - Chapeco - SC,05/05/2019 11:00:00,28,,Chapecoense - SC,1,Athletico Paranaense - PR,1
3,Morumbi - Sao Paulo - SP,05/05/2019 16:00:00,25,,São Paulo - SP,1,Flamengo - RJ,1
3,Mineirão - Belo Horizonte - MG,05/05/2019 16:00:00,22,Cruzeiro - MG,Cruzeiro - MG,2,Goiás - GO,1
3,Nilton Santos - Rio de Janeiro - RJ,05/05/2019 16:00:00,27,Botafogo - RJ,Botafogo - RJ,1,Fortaleza - CE,0
3,Rei Pelé - Maceio - AL,05/05/2019 16:00:00,30,,Csa - AL,0,Santos - SP,0
3,Arena Fonte Nova - Salvador - BA,05/05/2019 19:00:00,29,Bahia - BA,Bahia - BA,1,Avaí - SC,0
3,Arena do Grêmio - Porto Alegre - RS,05/05/2019 19:00:00,21,Fluminense - RJ,Grêmio - RS,4,Fluminense - RJ,5
4,Maracanã - Rio de Janeiro - RJ,05/11/2019 16:00:00,37,Botafogo - RJ,Fluminense - RJ,0,Botafogo - RJ,1
4,Arena Corinthians - Sao Paulo - SP,05/11/2019 19:00:00,34,,Corinthians - SP,0,Grêmio - RS,0
4,Serra Dourada - Goiania - GO,05/11/2019 21:00:00,39,Goiás - GO,Goiás - GO,2,Ceará - CE,1
4,Maracanã - Rio de Janeiro - RJ,05/12/2019 11:00:00,36,Flamengo - RJ,Flamengo - RJ,2,Chapecoense - SC,1
4,Pacaembu - Sao Paulo - SP,05/12/2019 16:00:00,35,Santos - SP,Santos - SP,3,Vasco da Gama - RJ,0
4,Mineirão - Belo Horizonte - MG,05/12/2019 16:00:00,32,Palmeiras - SP,Atlético - MG,0,Palmeiras - SP,2
4,Beira-Rio - Porto Alegre - RS,05/12/2019 16:00:00,31,Internacional - RS,Internacional - RS,3,Cruzeiro - MG,1
4,Arena Castelão - Fortaleza - CE,05/12/2019 19:00:00,33,São Paulo - SP,Fortaleza - CE,0,São Paulo - SP,1
4,Ressacada - Florianopolis - SC,05/12/2019 19:00:00,38,,Avaí - SC,0,Csa - AL,0
4,Arena da Baixada - Curitiba - PR,05/12/2019 19:00:00,40,Athletico Paranaense - PR,Athletico Paranaense - PR,1,Bahia - BA,0
5,Maracanã - Rio de Janeiro - RJ,05/18/2019 18:00:00,47,Fluminense - RJ,Fluminense - RJ,4,Cruzeiro - MG,1
5,Independência - Belo Horizonte - MG,05/18/2019 19:00:00,42,Atlético - MG,Atlético - MG,2,Flamengo - RJ,1
5,Pacaembu - Sao Paulo - SP,05/18/2019 19:00:00,44,Palmeiras - SP,Palmeiras - SP,4,Santos - SP,0
5,Morumbi - Sao Paulo - SP,05/19/2019 11:00:00,45,,São Paulo - SP,0,Bahia - BA,0
5,Arena da Baixada - Curitiba - PR,05/19/2019 16:00:00,50,Corinthians - SP,Athletico Paranaense - PR,0,Corinthians - SP,2
5,Arena Condá - Chapeco - SC,05/19/2019 16:00:00,48,Fortaleza - CE,Chapecoense - SC,1,Fortaleza - CE,3
5,Serra Dourada - Goiania - GO,05/19/2019 16:00:00,49,Goiás - GO,Goiás - GO,1,Botafogo - RJ,0
5,Beira-Rio - Porto Alegre - RS,05/19/2019 16:00:00,41,Internacional - RS,Internacional - RS,2,Csa - AL,0
5,São Januário - Rio de Janeiro - RJ,05/19/2019 19:00:00,46,,Vasco da Gama - RJ,1,Avaí - SC,1
5,Arena Castelão - Fortaleza - CE,05/19/2019 19:00:00,43,Ceará - CE,Ceará - CE,2,Grêmio - RS,1
6,Mané Garrincha - Brasilia - DF,05/25/2019 16:00:00,57,Palmeiras - SP,Botafogo - RJ,0,Palmeiras - SP,1
6,Arena do Grêmio - Porto Alegre - RS,05/25/2019 19:00:00,51,Grêmio - RS,Grêmio - RS,1,Atlético - MG,0
6,Vila Belmiro - Santos - SP,05/26/2019 16:00:00,55,,Santos - SP,0,Internacional - RS,0
6,Maracanã - Rio de Janeiro - RJ,05/26/2019 16:00:00,56,Flamengo - RJ,Flamengo - RJ,3,Athletico Paranaense - PR,2
6,Independência - Belo Horizonte - MG,05/26/2019 19:00:00,52,Chapecoense - SC,Cruzeiro - MG,1,Chapecoense - SC,2
6,Arena Castelão - Fortaleza - CE,05/26/2019 19:00:00,53,,Fortaleza - CE,1,Vasco da Gama - RJ,1
6,Arena Corinthians - Sao Paulo - SP,05/26/2019 19:00:00,54,Corinthians - SP,Corinthians - SP,1,São Paulo - SP,0
6,Arena Fonte Nova - Salvador - BA,05/26/2019 19:00:00,59,Bahia - BA,Bahia - BA,3,Fluminense - RJ,2
6,Ressacada - Florianopolis - SC,05/27/2019 20:00:00,58,Ceará - CE,Avaí - SC,1,Ceará - CE,2
6,Rei Pelé - Maceio - AL,05/27/2019 20:00:00,60,Csa - AL,Csa - AL,1,Goiás - GO,0
7,Nilton Santos - Rio de Janeiro - RJ,06/01/2019 16:00:00,66,Flamengo - RJ,Flamengo - RJ,2,Fortaleza - CE,0
7,Pituaçu - Salvador - BA,06/01/2019 19:00:00,69,Bahia - BA,Bahia - BA,1,Grêmio - RS,0
7,Nilton Santos - Rio de Janeiro - RJ,06/02/2019 11:00:00,67,Botafogo - RJ,Botafogo - RJ,1,Vasco da Gama - RJ,0
7,Arena da Baixada - Curitiba - PR,06/02/2019 16:00:00,70,Athletico Paranaense - PR,Athletico Paranaense - PR,3,Fluminense - RJ,0
7,Arena Castelão - Fortaleza - CE,06/02/2019 16:00:00,63,Santos - SP,Ceará - CE,0,Santos - SP,1
7,Pacaembu - Sao Paulo - SP,06/02/2019 16:00:00,65,,São Paulo - SP,1,Cruzeiro - MG,1
7,Beira-Rio - Porto Alegre - RS,06/02/2019 19:00:00,61,Internacional - RS,Internacional - RS,2,Avaí - SC,0
7,Arena Condá - Chapeco - SC,06/02/2019 19:00:00,68,Palmeiras - SP,Chapecoense - SC,1,Palmeiras - SP,2
7,Independência - Belo Horizonte - MG,06/02/2019 19:00:00,62,Atlético - MG,Atlético - MG,4,Csa - AL,0
7,Arena Corinthians - Sao Paulo - SP,08/07/2019 19:15:00,64,Corinthians - SP,Corinthians - SP,2,Goiás - GO,0
8,São Januário - Rio de Janeiro - RJ,06/07/2019 20:30:00,76,Vasco da Gama - RJ,Vasco da Gama - RJ,2,Internacional - RS,1
8,Allianz Parque - Sao Paulo - SP,06/08/2019 16:30:00,74,Palmeiras - SP,Palmeiras - SP,1,Athletico Paranaense - PR,0
8,Centenário - Caxias do Sul - RS,06/08/2019 19:00:00,71,Grêmio - RS,Grêmio - RS,1,Fortaleza - CE,0
8,Mineirão - Belo Horizonte - MG,06/08/2019 19:00:00,72,,Cruzeiro - MG,0,Corinthians - SP,0
8,Arena Castelão - Fortaleza - CE,06/08/2019 19:30:00,73,,Ceará - CE,0,Bahia - BA,0
8,Ressacada - Florianopolis - SC,06/08/2019 21:00:00,78,,Avaí - SC,0,São Paulo - SP,0
8,Vila Belmiro - Santos - SP,06/09/2019 19:00:00,75,Santos - SP,Santos - SP,3,Atlético - MG,1
8,Maracanã - Rio de Janeiro - RJ,06/09/2019 19:00:00,77,,Fluminense - RJ,0,Flamengo - RJ,0
8,Rei Pelé - Maceio - AL,06/09/2019 19:00:00,80,Botafogo - RJ,Csa - AL,1,Botafogo - RJ,2
8,Serra Dourada - Goiania - GO,06/10/2019 20:00:00,79,Goiás - GO,Goiás - GO,3,Chapecoense - SC,1
9,Nilton Santos - Rio de Janeiro - RJ,06/12/2019 19:15:00,87,Grêmio - RS,Botafogo - RJ,0,Grêmio - RS,1
9,Arena Castelão - Fortaleza - CE,06/12/2019 21:00:00,83,Fortaleza - CE,Fortaleza - CE,2,Cruzeiro - MG,1
9,Vila Belmiro - Santos - SP,06/12/2019 21:30:00,85,Santos - SP,Santos - SP,1,Corinthians - SP,0
9,Beira-Rio - Porto Alegre - RS,06/12/2019 21:30:00,81,Internacional - RS,Internacional - RS,3,Bahia - BA,1
9,Mané Garrincha - Brasilia - DF,06/12/2019 21:30:00,90,Flamengo - RJ,Csa - AL,0,Flamengo - RJ,2
9,São Januário - Rio de Janeiro - RJ,06/13/2019 19:15:00,86,Vasco da Gama - RJ,Vasco da Gama - RJ,1,Ceará - CE,0
9,Allianz Parque - Sao Paulo - SP,06/13/2019 20:00:00,84,Palmeiras - SP,Palmeiras - SP,2,Avaí - SC,0
9,Arena Condá - Chapeco - SC,06/13/2019 20:00:00,88,,Chapecoense - SC,1,Fluminense - RJ,1
9,Serra Dourada - Goiania - GO,06/13/2019 20:00:00,89,Goiás - GO,Goiás - GO,2,Athletico Paranaense - PR,1
9,Independência - Belo Horizonte - MG,06/13/2019 20:00:00,82,,Atlético - MG,1,São Paulo - SP,1
10,Arena do Grêmio - Porto Alegre - RS,07/13/2019 17:00:00,91,Grêmio - RS,Grêmio - RS,2,Vasco da Gama - RJ,1
10,Arena Castelão - Fortaleza - CE,07/13/2019 17:00:00,93,Fortaleza - CE,Fortaleza - CE,2,Avaí - SC,0
10,Pituaçu - Salvador - BA,07/13/2019 19:00:00,99,Santos - SP,Bahia - BA,0,Santos - SP,1
10,Morumbi - Sao Paulo - SP,07/13/2019 19:00:00,95,,São Paulo - SP,1,Palmeiras - SP,1
10,Maracanã - Rio de Janeiro - RJ,07/14/2019 11:00:00,96,Flamengo - RJ,Flamengo - RJ,6,Goiás - GO,1
10,Mineirão - Belo Horizonte - MG,07/14/2019 16:00:00,92,,Cruzeiro - MG,0,Botafogo - RJ,0
10,Arena Corinthians - Sao Paulo - SP,07/14/2019 16:00:00,94,Corinthians - SP,Corinthians - SP,1,Csa - AL,0
