Rodada,JogoLocal,JogoData,JogoNumero,JogoTimeA,JogoTimeB,Funcao,Nome,Categoria,Federacao
1,Maracanã - Rio de Janeiro - RJ,04/27/2019 21:00:00,6,Flamengo - RJ,Cruzeiro - MG,Árbitro de Vídeo,Leandro Pedro Vuaden,MTR,RS
1,Maracanã - Rio de Janeiro - RJ,04/27/2019 21:00:00,6,Flamengo - RJ,Cruzeiro - MG,Assistente de Árbitro de Vídeo 1,Jean Pierre Goncalves Lima,AB,RS
1,Maracanã - Rio de Janeiro - RJ,04/27/2019 21:00:00,6,Flamengo - RJ,Cruzeiro - MG,Assistente de Árbitro de Vídeo 2,Cleriston Clay Barreto Rios,MTR,SE
1,Maracanã - Rio de Janeiro - RJ,04/27/2019 21:00:00,6,Flamengo - RJ,Cruzeiro - MG,Observador de VAR,Cláudio Vinícius Cerdeira,CBF,BR
1,Arena do Grêmio - Porto Alegre - RS,04/28/2019 11:00:00,1,Grêmio - RS,Santos - SP,Árbitro,Bruno Arleu de Araujo,AB,RJ
1,Arena do Grêmio - Porto Alegre - RS,04/28/2019 11:00:00,1,Grêmio - RS,Santos - SP,Árbitro Assistente 1,Rodrigo Figueiredo Henrique Correa,FIFA,RJ
1,Arena do Grêmio - Porto Alegre - RS,04/28/2019 11:00:00,1,Grêmio - RS,Santos - SP,Árbitro Assistente 2,Thiago Henrique Neto Correa Farinha,AB,RJ
1,Arena do Grêmio - Porto Alegre - RS,04/28/2019 11:00:00,1,Grêmio - RS,Santos - SP,Quarto Árbitro,Alexandre Vargas Tavares de Jesus,AB,RJ
1,Arena do Grêmio - Porto Alegre - RS,04/28/2019 11:00:00,1,Grêmio - RS,Santos - SP,Analista de Campo,Jose Mocellin,CBF,BR
1,Arena do Grêmio - Porto Alegre - RS,04/28/2019 11:00:00,1,Grêmio - RS,Santos - SP,Árbitro de Vídeo,Rodrigo Carvalhaes de Miranda,AB,RJ
1,Arena do Grêmio - Porto Alegre - RS,04/28/2019 11:00:00,1,Grêmio - RS,Santos - SP,Assistente de Árbitro de Vídeo 1,Marcelo de Lima Henrique,MTR,RJ
1,Arena do Grêmio - Porto Alegre - RS,04/28/2019 11:00:00,1,Grêmio - RS,Santos - SP,Assistente de Árbitro de Vídeo 2,Michael Correia,AB,RJ
1,Arena do Grêmio - Porto Alegre - RS,04/28/2019 11:00:00,1,Grêmio - RS,Santos - SP,Observador de VAR,Paulo Jorge Alves,CBF,BR
1,Arena Castelão - Fortaleza - CE,04/28/2019 16:00:00,3,Ceará - CE,Csa - AL,Árbitro,Adriano Milczvski,AB,PR
1,Arena Castelão - Fortaleza - CE,04/28/2019 16:00:00,3,Ceará - CE,Csa - AL,Árbitro Assistente 1,Rafael Trombeta,AB,PR
1,Arena Castelão - Fortaleza - CE,04/28/2019 16:00:00,3,Ceará - CE,Csa - AL,Árbitro Assistente 2,Daniel Henrique da Silva Andrade,AB,DF
1,Arena Castelão - Fortaleza - CE,04/28/2019 16:00:00,3,Ceará - CE,Csa - AL,Quarto Árbitro,Lucas Canetto Bellote,AB,SP
1,Arena Castelão - Fortaleza - CE,04/28/2019 16:00:00,3,Ceará - CE,Csa - AL,Analista de Campo,Paulo Silvio dos Santos,CBF,CE
1,Arena Castelão - Fortaleza - CE,04/28/2019 16:00:00,3,Ceará - CE,Csa - AL,Árbitro de Vídeo,Paulo Roberto Alves Junior,AB,PR
1,Arena Castelão - Fortaleza - CE,04/28/2019 16:00:00,3,Ceará - CE,Csa - AL,Assistente de Árbitro de Vídeo 1,Rodrigo Dalonso Ferreira,AB,SC
1,Arena Castelão - Fortaleza - CE,04/28/2019 16:00:00,3,Ceará - CE,Csa - AL,Assistente de Árbitro de Vídeo 2,Evandro de Melo Lima,AB,SP
1,Arena Castelão - Fortaleza - CE,04/28/2019 16:00:00,3,Ceará - CE,Csa - AL,Observador de VAR,Nilson de Souza Monção,CBF,BR
1,Arena Fonte Nova - Salvador - BA,04/28/2019 16:00:00,9,Bahia - BA,Corinthians - SP,Árbitro,Wilton Pereira Sampaio,FIFA,GO
1,Arena Fonte Nova - Salvador - BA,04/28/2019 16:00:00,9,Bahia - BA,Corinthians - SP,Árbitro Assistente 1,Fabricio Vilarinho da Silva,FIFA,GO
1,Arena Fonte Nova - Salvador - BA,04/28/2019 16:00:00,9,Bahia - BA,Corinthians - SP,Árbitro Assistente 2,Bruno Raphael Pires,FIFA,GO
1,Arena Fonte Nova - Salvador - BA,04/28/2019 16:00:00,9,Bahia - BA,Corinthians - SP,Quarto Árbitro,Jefferson Ferreira de Moraes,AB,GO
1,Arena Fonte Nova - Salvador - BA,04/28/2019 16:00:00,9,Bahia - BA,Corinthians - SP,Analista de Campo,Vidal Cordeiro Lopes,CBF,BA
1,Arena Fonte Nova - Salvador - BA,04/28/2019 16:00:00,9,Bahia - BA,Corinthians - SP,Árbitro de Vídeo,Andre Luiz de Freitas Castro,MTR,GO
1,Arena Fonte Nova - Salvador - BA,04/28/2019 16:00:00,9,Bahia - BA,Corinthians - SP,Assistente de Árbitro de Vídeo 1,Eduardo Tomaz de Aquino Valadao,AB,GO
1,Arena Fonte Nova - Salvador - BA,04/28/2019 16:00:00,9,Bahia - BA,Corinthians - SP,Assistente de Árbitro de Vídeo 2,Luiz Claudio Regazone,AB,RJ
1,Arena Fonte Nova - Salvador - BA,04/28/2019 16:00:00,9,Bahia - BA,Corinthians - SP,Observador de VAR,Manoel Serapiao Filho,CBF,BA
1,Arena da Baixada - Curitiba - PR,04/28/2019 16:00:00,10,Athletico Paranaense - PR,Vasco da Gama - RJ,Árbitro,Luiz Flavio de Oliveira,FIFA,SP
1,Arena da Baixada - Curitiba - PR,04/28/2019 16:00:00,10,Athletico Paranaense - PR,Vasco da Gama - RJ,Árbitro Assistente 1,Emerson Augusto de Carvalho,FIFA,SP
1,Arena da Baixada - Curitiba - PR,04/28/2019 16:00:00,10,Athletico Paranaense - PR,Vasco da Gama - RJ,Árbitro Assistente 2,Neuza Ines Back,FIFA,SP
1,Arena da Baixada - Curitiba - PR,04/28/2019 16:00:00,10,Athletico Paranaense - PR,Vasco da Gama - RJ,Quarto Árbitro,Gilberto Rodrigues Castro Junior,AB,PE
1,Arena da Baixada - Curitiba - PR,04/28/2019 16:00:00,10,Athletico Paranaense - PR,Vasco da Gama - RJ,Analista de Campo,Anderson Carlos Gonçalves,CBF,PR
1,Arena da Baixada - Curitiba - PR,04/28/2019 16:00:00,10,Athletico Paranaense - PR,Vasco da Gama - RJ,Árbitro de Vídeo,Wagner Reway,FIFA,PB
1,Arena da Baixada - Curitiba - PR,04/28/2019 16:00:00,10,Athletico Paranaense - PR,Vasco da Gama - RJ,Assistente de Árbitro de Vídeo 1,Clovis Amaral da Silva,AB,PE
1,Arena da Baixada - Curitiba - PR,04/28/2019 16:00:00,10,Athletico Paranaense - PR,Vasco da Gama - RJ,Assistente de Árbitro de Vídeo 2,Vinicius Gonçalves Dias Araujo,AB,SP
1,Arena da Baixada - Curitiba - PR,04/28/2019 16:00:00,10,Athletico Paranaense - PR,Vasco da Gama - RJ,Observador de VAR,Antonio Pereira da Silva,CBF,GO
1,Allianz Parque - Sao Paulo - SP,04/28/2019 19:00:00,4,Palmeiras - SP,Fortaleza - CE,Árbitro,Braulio da Silva Machado,FIFA,SC
1,Allianz Parque - Sao Paulo - SP,04/28/2019 19:00:00,4,Palmeiras - SP,Fortaleza - CE,Árbitro Assistente 1,Kleber Lucio Gil,FIFA,SC
1,Allianz Parque - Sao Paulo - SP,04/28/2019 19:00:00,4,Palmeiras - SP,Fortaleza - CE,Árbitro Assistente 2,Helton Nunes,AB,SC
1,Allianz Parque - Sao Paulo - SP,04/28/2019 19:00:00,4,Palmeiras - SP,Fortaleza - CE,Quarto Árbitro,Christiano Gayo Nascimento,AB,DF
1,Allianz Parque - Sao Paulo - SP,04/28/2019 19:00:00,4,Palmeiras - SP,Fortaleza - CE,Analista de Campo,Philippe Lombard,CBF,SP
1,Allianz Parque - Sao Paulo - SP,04/28/2019 19:00:00,4,Palmeiras - SP,Fortaleza - CE,Árbitro de Vídeo,Rafael Traci,AB,SC
1,Allianz Parque - Sao Paulo - SP,04/28/2019 19:00:00,4,Palmeiras - SP,Fortaleza - CE,Assistente de Árbitro de Vídeo 1,Wagner do Nascimento Magalhaes,FIFA,RJ
1,Allianz Parque - Sao Paulo - SP,04/28/2019 19:00:00,4,Palmeiras - SP,Fortaleza - CE,Assistente de Árbitro de Vídeo 2,Carlos Berkenbrock,MTR,SC
1,Allianz Parque - Sao Paulo - SP,04/28/2019 19:00:00,4,Palmeiras - SP,Fortaleza - CE,Observador de VAR,Sergio Correa da Silva,CBF,BR
1,Maracanã - Rio de Janeiro - RJ,04/28/2019 19:00:00,7,Fluminense - RJ,Goiás - GO,Árbitro,Dewson Fernando Freitas da Silva,FIFA,PA
1,Maracanã - Rio de Janeiro - RJ,04/28/2019 19:00:00,7,Fluminense - RJ,Goiás - GO,Árbitro Assistente 1,Eduardo Goncalves da Cruz,MTR,MS
1,Maracanã - Rio de Janeiro - RJ,04/28/2019 19:00:00,7,Fluminense - RJ,Goiás - GO,Árbitro Assistente 2,Helcio Araujo Neves,AB,PA
1,Maracanã - Rio de Janeiro - RJ,04/28/2019 19:00:00,7,Fluminense - RJ,Goiás - GO,Quarto Árbitro,Diego Pombo Lopez,AB,BA
1,Maracanã - Rio de Janeiro - RJ,04/28/2019 19:00:00,7,Fluminense - RJ,Goiás - GO,Analista de Campo,Jose Carlos Santiago Andrade,CBF,RJ
1,Maracanã - Rio de Janeiro - RJ,04/28/2019 19:00:00,7,Fluminense - RJ,Goiás - GO,Árbitro de Vídeo,Flavio Rodrigues de Souza,AB,SP
1,Maracanã - Rio de Janeiro - RJ,04/28/2019 19:00:00,7,Fluminense - RJ,Goiás - GO,Assistente de Árbitro de Vídeo 1,Alex Ang Ribeiro,AB,SP
