1,Pacaembu - Sao Paulo - SP,05/19/2012 18:30:00,3,Palmeiras - SP,Portuguesa - SP,Árbitro,Raphael Claus,CBF-1,SP
1,Pacaembu - Sao Paulo - SP,05/19/2012 18:30:00,3,Palmeiras - SP,Portuguesa - SP,Árbitro Assistente 1,Anderson José de Moraes Coelho,CBF-1,SP
1,Pacaembu - Sao Paulo - SP,05/19/2012 18:30:00,3,Palmeiras - SP,Portuguesa - SP,Árbitro Assistente 2,Fabio Rogerio Baesteiro,CBF-2,SP
1,Pacaembu - Sao Paulo - SP,05/19/2012 18:30:00,3,Palmeiras - SP,Portuguesa - SP,Quarto Árbitro,Flavio Rodrigues de Souza,CBF-2,SP
1,Pacaembu - Sao Paulo - SP,05/19/2012 18:30:00,3,Palmeiras - SP,Portuguesa - SP,Árbitro Assistente Adicional 1,Flavio Rodrigues Guerra,CBF-1,SP
1,Pacaembu - Sao Paulo - SP,05/19/2012 18:30:00,3,Palmeiras - SP,Portuguesa - SP,Árbitro Assistente Adicional 2,Rodrigo Guarizo F. do Amaral,CBF-1,SP
1,Ilha do Retiro - Recife - PE,05/19/2012 18:30:00,10,Sport - PE,Flamengo - RJ,Árbitro,Paulo Cesar de Oliveira,FIFA,SP
1,Ilha do Retiro - Recife - PE,05/19/2012 18:30:00,10,Sport - PE,Flamengo - RJ,Árbitro Assistente 1,Marcelo Carvalho Van Gasse,FIFA,SP
1,Ilha do Retiro - Recife - PE,05/19/2012 18:30:00,10,Sport - PE,Flamengo - RJ,Árbitro Assistente 2,Vicente Romano Neto,ESP,SP
1,Ilha do Retiro - Recife - PE,05/19/2012 18:30:00,10,Sport - PE,Flamengo - RJ,Quarto Árbitro,Gilberto Rodrigues Castro Junior,CBF-1,PE
1,Ilha do Retiro - Recife - PE,05/19/2012 18:30:00,10,Sport - PE,Flamengo - RJ,Árbitro Assistente Adicional 1,Suelson D França Medeiros,CBF-2,RN
1,Ilha do Retiro - Recife - PE,05/19/2012 18:30:00,10,Sport - PE,Flamengo - RJ,Árbitro Assistente Adicional 2,Joao Bosco Satiro da Nobrega,CBF-2,PB
1,Orlando Scarpelli - Florianopolis - SC,05/19/2012 21:00:00,4,Figueirense - SC,Náutico - PE,Árbitro,Arilson Bispo da Anunciacao,ESP,BA
1,Orlando Scarpelli - Florianopolis - SC,05/19/2012 21:00:00,4,Figueirense - SC,Náutico - PE,Árbitro Assistente 1,Rodrigo Pereira Joia,FIFA,RJ
1,Orlando Scarpelli - Florianopolis - SC,05/19/2012 21:00:00,4,Figueirense - SC,Náutico - PE,Árbitro Assistente 2,Adson Marcio Lopes Leal,CBF-1,BA
1,Orlando Scarpelli - Florianopolis - SC,05/19/2012 21:00:00,4,Figueirense - SC,Náutico - PE,Quarto Árbitro,Luiz Carlos Pereira,CBF-2,SC
1,Orlando Scarpelli - Florianopolis - SC,05/19/2012 21:00:00,4,Figueirense - SC,Náutico - PE,Árbitro Assistente Adicional 1,Francisco de Paula dos Santos Silva Neto,CBF-2,RS
1,Orlando Scarpelli - Florianopolis - SC,05/19/2012 21:00:00,4,Figueirense - SC,Náutico - PE,Árbitro Assistente Adicional 2,Roger Goulart,CBF-2,RS
1,Moisés Lucarelli - Campinas - SP,05/20/2012 16:00:00,8,Ponte Preta - SP,Atlético - MG,Árbitro,Francisco Carlos do Nascimento,FIFA,AL
1,Moisés Lucarelli - Campinas - SP,05/20/2012 16:00:00,8,Ponte Preta - SP,Atlético - MG,Árbitro Assistente 1,Fabio Pereira,FIFA,TO
1,Moisés Lucarelli - Campinas - SP,05/20/2012 16:00:00,8,Ponte Preta - SP,Atlético - MG,Árbitro Assistente 2,Carlos Jorge Titara da Rocha,CBF-1,AL
1,Moisés Lucarelli - Campinas - SP,05/20/2012 16:00:00,8,Ponte Preta - SP,Atlético - MG,Quarto Árbitro,Jose Claudio Rocha Filho,CBF-2,SP
1,Moisés Lucarelli - Campinas - SP,05/20/2012 16:00:00,8,Ponte Preta - SP,Atlético - MG,Árbitro Assistente Adicional 1,Grazianni Maciel Rocha,CBF-1,RJ
1,Moisés Lucarelli - Campinas - SP,05/20/2012 16:00:00,8,Ponte Preta - SP,Atlético - MG,Árbitro Assistente Adicional 2,Leonardo Garcia Cavaleiro,CBF-2,RJ
1,Pacaembu - Sao Paulo - SP,05/20/2012 16:00:00,5,Corinthians - SP,Fluminense - RJ,Árbitro,Fabricio Neves Correa,CBF-1,RS
1,Pacaembu - Sao Paulo - SP,05/20/2012 16:00:00,5,Corinthians - SP,Fluminense - RJ,Árbitro Assistente 1,Altemir Hausmann,FIFA,RS
1,Pacaembu - Sao Paulo - SP,05/20/2012 16:00:00,5,Corinthians - SP,Fluminense - RJ,Árbitro Assistente 2,Jose Antônio Chaves Franco Filho,CBF-1,RS
1,Pacaembu - Sao Paulo - SP,05/20/2012 16:00:00,5,Corinthians - SP,Fluminense - RJ,Quarto Árbitro,Vinicius Furlan,CBF-1,SP
1,Pacaembu - Sao Paulo - SP,05/20/2012 16:00:00,5,Corinthians - SP,Fluminense - RJ,Árbitro Assistente Adicional 1,Adriano Milczvski,CBF-2,PR
1,Pacaembu - Sao Paulo - SP,05/20/2012 16:00:00,5,Corinthians - SP,Fluminense - RJ,Árbitro Assistente Adicional 2,Fabio Filipus,CBF-2,PR
1,João Havelange - Rio de Janeiro - RJ,05/20/2012 16:00:00,7,Botafogo - RJ,São Paulo - SP,Árbitro,Sandro Meira Ricci,FIFA,PE
1,João Havelange - Rio de Janeiro - RJ,05/20/2012 16:00:00,7,Botafogo - RJ,São Paulo - SP,Árbitro Assistente 1,Roberto Braatz,,PR
1,João Havelange - Rio de Janeiro - RJ,05/20/2012 16:00:00,7,Botafogo - RJ,São Paulo - SP,Árbitro Assistente 2,Jossemmar J Diniz Moutinho,CBF-1,PE
1,João Havelange - Rio de Janeiro - RJ,05/20/2012 16:00:00,7,Botafogo - RJ,São Paulo - SP,Quarto Árbitro,Pathrice Wallace Correa Maia,CBF-1,RJ
1,João Havelange - Rio de Janeiro - RJ,05/20/2012 16:00:00,7,Botafogo - RJ,São Paulo - SP,Árbitro Assistente Adicional 1,Devarly Lira do Rosario,CBF-1,ES
1,João Havelange - Rio de Janeiro - RJ,05/20/2012 16:00:00,7,Botafogo - RJ,São Paulo - SP,Árbitro Assistente Adicional 2,Felipe Duarte Varejao,CBF-1,ES
1,Beira-Rio - Porto Alegre - RS,05/20/2012 16:00:00,6,Internacional - RS,Coritiba - PR,Árbitro,Pablo dos Santos Alves,ASP-FIFA,ES
1,Beira-Rio - Porto Alegre - RS,05/20/2012 16:00:00,6,Internacional - RS,Coritiba - PR,Árbitro Assistente 1,Fabiano da Silva Ramires,ESP,ES
1,Beira-Rio - Porto Alegre - RS,05/20/2012 16:00:00,6,Internacional - RS,Coritiba - PR,Árbitro Assistente 2,Jose Ricardo Maciel Linhares,CBF-1,ES
1,Beira-Rio - Porto Alegre - RS,05/20/2012 16:00:00,6,Internacional - RS,Coritiba - PR,Quarto Árbitro,Marcio C Brum Coruja,CBF-2,RS
1,Beira-Rio - Porto Alegre - RS,05/20/2012 16:00:00,6,Internacional - RS,Coritiba - PR,Árbitro Assistente Adicional 1,Ronan Marques da Rosa,CBF-1,SC
1,Beira-Rio - Porto Alegre - RS,05/20/2012 16:00:00,6,Internacional - RS,Coritiba - PR,Árbitro Assistente Adicional 2,Carlos Eduardo Vieira Areas,CBF-2,SC
1,São Januário - Rio de Janeiro - RJ,05/20/2012 18:30:00,1,Vasco da Gama - RJ,Grêmio - RS,Árbitro,Celio Amorim,ESP,SC
1,São Januário - Rio de Janeiro - RJ,05/20/2012 18:30:00,1,Vasco da Gama - RJ,Grêmio - RS,Árbitro Assistente 1,Nadine Schramm Camara Bastos,ASP-FIFA,SC
1,São Januário - Rio de Janeiro - RJ,05/20/2012 18:30:00,1,Vasco da Gama - RJ,Grêmio - RS,Árbitro Assistente 2,Kleber Lucio Gil,FIFA,SC
1,São Januário - Rio de Janeiro - RJ,05/20/2012 18:30:00,1,Vasco da Gama - RJ,Grêmio - RS,Quarto Árbitro,Eduardo Cordeiro Guimaraes,CBF-2,RJ
1,São Januário - Rio de Janeiro - RJ,05/20/2012 18:30:00,1,Vasco da Gama - RJ,Grêmio - RS,Árbitro Assistente Adicional 1,Marcos Andre Gomes da Penha,CBF-1,ES
1,São Januário - Rio de Janeiro - RJ,05/20/2012 18:30:00,1,Vasco da Gama - RJ,Grêmio - RS,Árbitro Assistente Adicional 2,Elvis Siqueira de Almeida,CBF-2,ES
1,Pituaçu - Salvador - BA,05/20/2012 18:30:00,2,Bahia - BA,Santos - SP,Árbitro,Evandro Rogerio Roman,ESP,PR
1,Pituaçu - Salvador - BA,05/20/2012 18:30:00,2,Bahia - BA,Santos - SP,Árbitro Assistente 1,Bruno Boschilia,ASP-FIFA,PR
1,Pituaçu - Salvador - BA,05/20/2012 18:30:00,2,Bahia - BA,Santos - SP,Árbitro Assistente 2,Jose Carlos Dias Passos,,PR
1,Pituaçu - Salvador - BA,05/20/2012 18:30:00,2,Bahia - BA,Santos - SP,Quarto Árbitro,Manoel Nunes Lopo Garrido,CBF-1,BA
1,Pituaçu - Salvador - BA,05/20/2012 18:30:00,2,Bahia - BA,Santos - SP,Árbitro Assistente Adicional 1,Rogerio Lima da Rocha,CBF-2,SE
1,Pituaçu - Salvador - BA,05/20/2012 18:30:00,2,Bahia - BA,Santos - SP,Árbitro Assistente Adicional 2,Claudionor dos Santos Junior,CBF-2,SE
1,João Havelange - Uberlandia - MG,05/20/2012 18:30:00,9,Cruzeiro - MG,Atlético - GO,Árbitro,Pericles Bassols Pegado Cortez,FIFA,RJ
1,João Havelange - Uberlandia - MG,05/20/2012 18:30:00,9,Cruzeiro - MG,Atlético - GO,Árbitro Assistente 1,Dibert Pedrosa Moises,ESP,RJ
1,João Havelange - Uberlandia - MG,05/20/2012 18:30:00,9,Cruzeiro - MG,Atlético - GO,Árbitro Assistente 2,Marco Aurélio dos Santos Pessanha,CBF-1,RJ
1,João Havelange - Uberlandia - MG,05/20/2012 18:30:00,9,Cruzeiro - MG,Atlético - GO,Quarto Árbitro,Flavio Henrique Coutinho Teixeira,CBF-2,MG
1,João Havelange - Uberlandia - MG,05/20/2012 18:30:00,9,Cruzeiro - MG,Atlético - GO,Árbitro Assistente Adicional 1,Rodrigo Batista Raposo,CBF-1,DF
1,João Havelange - Uberlandia - MG,05/20/2012 18:30:00,9,Cruzeiro - MG,Atlético - GO,Árbitro Assistente Adicional 2,Rogerio Jose Bueno,CBF-2,DF
2,Serra Dourada - Goiania - GO,05/26/2012 18:30:00,11,Atlético - GO,Ponte Preta - SP,Árbitro,Manoel Nunes Lopo Garrido,CBF-1,BA
2,Serra Dourada - Goiania - GO,05/26/2012 18:30:00,11,Atlético - GO,Ponte Preta - SP,Árbitro Assistente 1,Alessandro A Rocha de Matos,FIFA,BA
2,Serra Dourada - Goiania - GO,05/26/2012 18:30:00,11,Atlético - GO,Ponte Preta - SP,Árbitro Assistente 2,Luiz Carlos Silva Teixeira,CBF-1,BA
2,Serra Dourada - Goiania - GO,05/26/2012 18:30:00,11,Atlético - GO,Ponte Preta - SP,Quarto Árbitro,Fabricio Nery Trindade,CBF-2,GO
2,Serra Dourada - Goiania - GO,05/26/2012 18:30:00,11,Atlético - GO,Ponte Preta - SP,Árbitro Assistente Adicional 1,Janio Pires Gonçalves,CBF-1,TO
2,Serra Dourada - Goiania - GO,05/26/2012 18:30:00,11,Atlético - GO,Ponte Preta - SP,Árbitro Assistente Adicional 2,Francisco Leone de Oliveira,CBF-2,TO
2,João Havelange - Rio de Janeiro - RJ,05/26/2012 18:30:00,12,Flamengo - RJ,Internacional - RS,Árbitro,Andre Luiz de Freitas Castro,ESP,GO
2,João Havelange - Rio de Janeiro - RJ,05/26/2012 18:30:00,12,Flamengo - RJ,Internacional - RS,Árbitro Assistente 1,Fabio Pereira,FIFA,TO
2,João Havelange - Rio de Janeiro - RJ,05/26/2012 18:30:00,12,Flamengo - RJ,Internacional - RS,Árbitro Assistente 2,Jesmar Benedito Miranda de Paula,CBF-1,GO
2,João Havelange - Rio de Janeiro - RJ,05/26/2012 18:30:00,12,Flamengo - RJ,Internacional - RS,Quarto Árbitro,Eduardo Cordeiro Guimaraes,CBF-2,RJ
2,João Havelange - Rio de Janeiro - RJ,05/26/2012 18:30:00,12,Flamengo - RJ,Internacional - RS,Árbitro Assistente Adicional 1,Vinicius Furlan,CBF-1,SP
2,João Havelange - Rio de Janeiro - RJ,05/26/2012 18:30:00,12,Flamengo - RJ,Internacional - RS,Árbitro Assistente Adicional 2,Flavio Rodrigues de Souza,CBF-2,SP
2,Canindé - Sao Paulo - SP,05/26/2012 18:30:00,13,Portuguesa - SP,Vasco da Gama - RJ,Árbitro,Heber Roberto Lopes,FIFA,PR
